Date	Total Tests	Daily Tests (ECLRS)	New Positive Cases (NYSDOH)	Total Positive Cases (TCHD)	Released from Isolation (TCHD)	Active Cases (TCHD)	Active COVID-19 Hospitalizations (CHS)	Total TC Resident Deaths (TCHD)	NYS Vaccine Tracker: Tompkins County 1st Dose	NYS Vaccine Tracker: Tompkins County Complete Series	Reported Positive Self-Tests	Total Positive Self-Tests
7/30/20	24,042		2	222	189	33	0	0				
7/31/20	24,650		0	222	194	28	0	0				
8/1/20	24,824		2	224	198	26	0	0				
8/2/20	24,891		0	224	199	25	0	0				
8/3/20	24,919		2	226	200	26	0	0				
8/4/20	25,331		0	226	201	25	0	0				
8/5/20	26,092		2	228	202	26	0	0				
8/6/20	26,322		0	228	207	21	0	0				
8/7/20	27,441		1	229	210	19	0	0				
8/8/20	27,701		0	229	216	13	0	0				
8/9/20	27,708		0	229	217	12	0	0				
8/10/20	27,715		1	230	217	13	0	0				
8/11/20	27,846		0	230	219	11	0	0				
8/12/20	29,450		0	230	222	8	0	0				
8/13/20	30,447		3	233	224	9	0	0				
8/14/20	31,527		1	234	226	8	0	0				
8/15/20	32,176		1	235	229	6	0	0				
8/16/20	32,234		0	235	230	5	0	0				
8/17/20	32,711		0	235	230	5	0	0				
8/18/20	34,104		1	236	230	6	0	0				
8/19/20	36,135		1	237	230	7	0	0				
8/20/20	38,234		2	239	232	7	0	0				
8/21/20	39,877		0	239	232	7	0	0				
8/22/20	40,937		2	241	234	7	0	0				
8/23/20	40,937		0	241	234	7	0	0				
8/24/20	42,165		1	242	234	8	0	0				
8/25/20	44,219		2	244	234	10	0	0				
8/26/20	46,661		0	244	234	10	0	0				
8/27/20	48,218		2	246	235	11	0	0				
8/28/20	51,036		9	255	237	18	0	0				
8/29/20	53,166		2	257	239	18	0	0				
8/30/20	54,451		1	258	239	19	0	0				
8/31/20	54,457		6	264	239	25	0	0				
9/1/20	55,316		9	273	241	32	0	0				
9/2/20	56,707		25	298	241	57	0	0				
9/3/20	58,299		5	303	242	61	0	0				
9/4/20	62,449		12	315	245	70	0	0				
9/5/20	68,859		12	327	245	82	0	0				
9/6/20	72,252		10	337	249	88	0	0				
9/7/20	75,159		3	340	254	86	0	0				
9/8/20	80,202		3	343	263	80	0	0				
9/9/20	85,395		16	359	271	88	0	0				
9/10/20	89,803		5	364	278	86	0	0				
9/11/20	95,797		7	371	292	79	0	0				
9/12/20	101,514		6	377	310	67	0	0				
9/13/20	101,515		1	378	323	55	0	0				
9/14/20	107,290		2	380	330	50	0	0				
9/15/20	113,511		3	383	344	39	0	0				
