Date	Total Tests	Daily Tests (ECLRS)	New Positive Cases (NYSDOH)	Total Positive Cases (TCHD)	Released from Isolation (TCHD)	Active Cases (TCHD)	Active COVID-19 Hospitalizations (CHS)	Total TC Resident Deaths (TCHD)	NYS Vaccine Tracker: Tompkins County 1st Dose	NYS Vaccine Tracker: Tompkins County Complete Series	Reported Positive Self-Tests	Total Positive Self-Tests
6/27/21	1,275,195	193	2	4,402	4,362	9	2	31	69,620	65,712		
6/28/21	1,275,267	72	0	4,402	4,362	9	2	31	69,663	65,768		
6/29/21	1,275,629	362	0	4,402	4,365	6	1	31	69,683	65,799		
6/30/21	1,275,984	355	0	4,402	4,366	5	1	31	69,719	65,859		
7/1/21	1,276,440	456	1	4,403	4,366	6	0	31	69,781	65,942		
7/2/21	1,276,901	461	1	4,404	4,367	6	0	31	69,822	65,996		
7/3/21	1,277,321	420	1	4,405	4,368	6	0	31	69,878	66,036		
7/4/21	1,277,484	163	0	4,405	4,371	3	0	31	69,941	66,106		
7/6/21	1,277,606	122	3	4,408	4,372	5	0	31	69,982	66,173		
7/7/21	1,278,000	394	1	4,409	4,372	6	1	31	70,007	66,219		
7/8/21	1,278,509	509	0	4,409	4,372	6	2	31	70,078	66,308		
7/9/21	1,278,916	407	0	4,409	4,372	6	1	31	70,078	66,308		
7/10/21	1,279,305	389	3	4,412	4,372	9	2	31				
7/11/21	1,279,396	91	0	4,412	4,372	9	2	31				
7/12/21	1,279,494	98	0	4,412	4,374	7	1	31	70,126	66,484		
7/13/21	1,279,694	200	2	4,414	4,377	6	1	31	70,193	66,511		
7/14/21	1,280,196	502	1	4,415	4,377	7	1	31	70,221	66,569		
7/15/21	1,280,544	348	2	4,417	4,378	8	1	31	70,246	66,607		
7/16/21	1,280,918	374	1	4,418	4,378	9	0	31	70,273	66,662		
7/17/21	1,281,211	293	2	4,420	4,379	10	1	31	70,337	66,780		
7/18/21	1,281,379	168	0	4,420	4,381	8	1	31	70,337	66,780		
7/19/21	1,281,426	47	0	4,420	4,384	5	1	31	70,376	66,818		
7/20/21	1,281,696	270	0	4,420	4,386	3	1	31	70,383	66,843		
7/21/21	1,282,170	474	2	4,422	4,387	4	1	31	70,412	66,882		
7/22/21	1,282,586	416	1	4,423	4,388	4	1	31	70,505	66,951		
7/23/21	1,283,105	519	6	4,429	4,388	10	1	31	70,505	66,951		
7/24/21	1,283,536	431	7	4,436	4,389	16	1	31				
7/25/21	1,283,614	78	2	4,438	4,390	17	1	31				
7/26/21	1,283,661	47	0	4,438	4,391	16	1	31	70,652	67,093		
7/27/21	1,284,103	442	3	4,441	4,393	17	2	31	70,678	67,099		
7/28/21	1,284,647	544	12	4,453	4,395	27	1	31	70,715	67,130		
7/29/21	1,285,248	601	20	4,473	4,395	47	2	31	70,761	67,173		
7/30/21	1,285,903	655	15	4,488	4,400	57	1	31	70,800	67,196		
7/31/21	1,286,690	787	12	4,500	4,402	67	2	31	70,865	67,256		
8/1/21	1,286,845	155	7	4,507	4,407	69	2	31	70,947	67,322		
8/2/21	1,286,948	103	7	4,514	4,410	73	2	31	71,003	67,347		
8/3/21	1,287,669	721	6	4,520	4,417	71	0	32	71041	67372		
8/4/21	1,288,543	874	20	4,540	4,422	86	1	32	71092	67395		
8/5/21	1,289,230	687	8	4,548	4,430	86	1	32	71152	67434		
8/6/21	1,289,955	725	13	4,561	4,439	90	3	32	71219	67469		
8/7/21	1,290,626	671	10	4,571	4,450	89	5	32	71271	67503		
8/8/21	1,290,774	148	13	4,584	4,470	82	7	32	71339	67544		
8/9/21	1,290,862	88	9	4,593	4,483	78	10	32	71371	67570		
8/10/21	1,291,492	630	8	4,601	4,495	74	10	32	71412	67593		
8/11/21	1,293,041	1,549	15	4,616	4,499	85	11	32	71458	67628		
8/12/21	1,294,423	1,382	25	4,641	4,517	92	9	32	71488	67650		
8/13/21	1,295,601	1,178	22	4,663	4,519	112	8	32	71555	67699		
8/14/21	1,296,788	1,187	15	4,678	4,526	120	11	32	71617	67731		
8/15/21	1,297,065	277	21	4,699	4,544	123	13	32	71681	67773		
8/16/21	1,297,322	257	12	4,711	4,554	125	13	32	71726	67811		
8/17/21	1,298,186	864	5	4,716	4,576	108	14	32	71774	67844		
8/18/21	1,300,184	1,998	35	4,751	4,588	131	11	32	71839	67878		
8/19/21	1,302,218	2,034	24	4,775	4,589	153	12	33	71906	67908		
8/20/21	1,305,277	3,059	20	4,795	4,618	144	9	33	72012	67948		
8/21/21	1,306,463	1,186	24	4,819	4,642	144	11	33	72157	68004		
8/22/21	1,307,161	698	26	4,845	4,659	153	9	33	72280	68057		
8/23/21	1,307,515	354	15	4,860	4,674	153	8	33	72372	68121		
8/24/21	1,307,932	417	11	4,871	4,684	154	3	33	72417	68161		
8/25/21	1,310,344	2,412	29	4,900	4,700	167	3	33	72487	68220		
8/26/21	1,314,181	3,837	32	4,932	4,713	186	5	33	72591	68278		
8/27/21	1,317,361	3,180	40	4,972	4,732	207	3	33	72750	68331		
8/28/21	1,321,276	3,915	62	5,034	4,756	244	3	34	72836	68380		
8/29/21	1,322,519	1,243	30	5,064	4,777	253	4	34	72967	68441		
8/30/21	1,323,202	683	38	5,102	4,800	268	3	34	73031	68482		
8/31/21	1,325,556	2,354	130	5,232	4,834	364	5	34	73077	68517		
9/1/21	1,328,735	3,179	42	5,274	4,872	368	6	34	73175	68565		
9/2/21	1,335,992	7,257	79	5,353	4,891	428	6	34	73279	68644		
9/3/21	1,341,775	5,783	38	5,391	4,918	439	5	34	73370	68695		
9/4/21	1,347,296	5,521	57	5,448	4,958	456	6	34	73494	68756		
9/5/21	1,348,161	865	71	5,519	4,997	488	4	34	73612	68795		
9/6/21	1,348,434	273	19	5,538	5,062	442	4	34	73669	68821		
9/7/21	1,350,726	2,292	17	5,555	5,167	354	5	34	73730	68856		
9/8/21	1,354,824	4,098	32	5,587	5,240	313	6	34	73764	68871		
9/9/21	1,360,369	5,545	53	5,640	5,277	329	8	34	73831	68911		
9/10/21	1,365,548	5,179	53	5,693	5,349	310	9	34	73920	68987		
9/11/21	1,371,315	5,767	32	5,725	5,380	311	10	34	73987	69028		
9/12/21	1,371,644	329	36	5,761	5,447	280	9	34	74081	69085		
9/13/21	1,372,048	404	26	5,787	5,501	252	9	34	74137	69122		
9/14/21	1,375,630	3,582	14	5,801	5,545	221	10	35	74175	69170		
9/15/21	1,379,384	3,754	44	5,845	5,590	218	9	37	74248	69214		
9/16/21	1,383,157	3,773	38	5,883	5,619	227	11	37	74291	69261		
9/17/21	1,388,372	5,215	29	5,912	5,638	237	10	37	74358	69318		
9/18/21	1,394,029	5,657	41	5,953	5,680	236	7	37	74417	69466		
9/19/21	1,394,294	265	52	6,005	5,721	247	9	37	74502	69509		
9/20/21	1,394,928	634	13	6,018	5,739	242	9	37	74562	69559		
9/21/21	1,398,155	3,227	45	6,063	5,787	239	8	37	74594	69593		
9/22/21	1,402,643	4,488	46	6,109	5,851	221	7	37	74646	69650		
9/23/21	1,407,623	4,980	57	6,166	5,906	223	7	37	74701	69695		
9/24/21	1,413,173	5,550	43	6,209	5,951	221	5	37	74759	69760		
9/25/21	1,418,849	5,676	46	6,255	5,991	227	6	37	74817	69828		
9/26/21	1,419,062	213	47	6,302	6,044	221	9	37	74887	69896		
9/27/21	1,420,005	943	9	6,311	6,084	190	10	37	74887	69924		
9/28/21	1,422,434	2,429	31	6,342	6,111	194	11	37	74909	69945		
9/29/21	1,428,283	5,849	23	6,365	6,136	192	13	37	74940	69967		
9/30/21	1,432,696	4,413	18	6,383	6,157	189	12	37	74977	69999		
10/1/21	1,438,486	5,790	19	6,402	6,179	186	12	37	74989	70012		
10/2/21	1,442,994	4,508	23	6,425	6,211	177	8	37	75018	70073		
10/3/21	1,443,126	132	22	6,447	6,235	175	7	37	75067	70105		
10/4/21	1,443,931	805	5	6,452	6,273	142	7	37	75092	70143		
10/5/21	1,448,864	4,933	20	6,472	6,300	135	7	37	75109	70158		
10/6/21	1,452,575	3,711	15	6,487	6,322	128	7	37	75134	70183		
10/7/21	1,457,341	4,766	29	6,516	6,335	144	6	37	75162	70223		
10/8/21	1,463,638	6,297	26	6,542	6,354	151	5	37	75178	70233		
10/9/21	1,467,510	3,872	30	6,572	6,374	161	2	37	75206	70266		
10/10/21	1,468,235	725	18	6,590	6,388	165	2	37	75241	70320		
10/11/21	1,469,108	873	10	6,600	6,407	156	4	37	75266	70352		
10/12/21	1,470,280	1,172	4	6,604	6,428	139	5	37	75282	70365		
10/13/21	1,473,850	3,570	7	6,611	6,454	120	6	37	75318	70376		
10/14/21	1,479,109	5,259	28	6,639	6,466	136	5	37	75350	70399		
10/15/21	1,485,408	6,299	34	6,673	6,493	143	5	37	75381	70432		
10/16/21	1,490,361	4,953	22	6,695	6,525	133	5	37	75412	70469		
10/17/21	1,490,578	217	31	6,726	6,536	153	4	37	75436	70501		
10/18/21	1,491,057	479	3	6,729	6,556	136	4	37	75453	70524		
10/19/21	1,495,796	4,739	13	6,742	6,580	125	4	37	75472	70537		
10/20/21	1,500,523	4,727	17	6,759	6,600	122	4	37	75498	70557		
10/21/21	1,505,109	4,586	13	6,772	6,600	135	5	37	75521	70581		
10/22/21	1,509,566	4,457	24	6,796	6,613	146	4	37	75567	70622		
10/23/21	1,514,441	4,875	27	6,823	6,660	126	4	37	75612	70657		
10/24/21	1,514,624	183	21	6,844	6,681	126	4	37	75649	70680		
10/25/21	1,515,059	435	5	6,849	6,692	120	6	37	75669	70689		
10/26/21	1,517,648	2,589	5	6,854	6,714	103	6	37	75690	70710		
10/27/21	1,521,977	4,329	31	6,885	6,714	134	6	37	75710	70731		
10/28/21	1,526,983	5,006	13	6,898	6,751	110	7	37	75744	70751		
10/29/21	1,530,160	3,177	22	6,920	6,772	111	5	37	75792	70784		
10/30/21	1,535,488	5,328	18	6,938	6,786	115	5	37	75846	70829		
10/31/21	1,535,679	191	6	6,944	6,798	109	4	37	75909	70875		
11/1/21	1,536,433	754	3	6,947	6,811	99	3	37	75930	70890		
11/2/21	1,540,059	3,626	32	6,979	6,826	116	4	37	75944	70895		
11/3/21	1,546,278	6,219	9	6,988	6,849	102	4	37	75991	70919		
11/4/21	1,550,356	4,078	18	7,006	6,865	104	3	37	76021	70922		
11/5/21	1,554,855	4,499	20	7,026	6,882	106	4	38	76034	70936		
11/6/21	1,559,444	4,589	23	7,049	6,890	121	1	38	76047	70940		
11/7/21	1,559,642	198	28	7,077	6,907	132	2	38	76683	70973		
11/8/21	1,560,140	498	11	7,088	6,927	123	4	38	77297	70998		
11/9/21	1,563,367	3,227	20	7,108	6935	143	4	38	77333	71011		
11/10/21	1,567,487	4,120	11	7,119	6,943	138	4	38	77388	71019		
11/11/21	1,571,712	4,225	38	7,157	6,967	152	4	38	77479	71041		
11/12/21	1,576,249	4,537	0	7,157	6,967	152	4	38	77636	71101		
11/13/21	1,580,906	4,657	71	7,228	7,009	181	4	38	77636	71101		
11/14/21	1,581,072	166	34	7,262	7,037	187	7	38	78174	71117		
11/15/21	1,581,569	497	1	7,263	7,058	167	6	38	78574	71117		
11/16/21	1,583,729	2,160	31	7,294	7,086	170	8	38	78579	71117		
11/17/21	1,588,059	4,330	22	7,316	7,086	192	9	38	78688	71133		
11/18/21	1,592,384	4,325	63	7,379	7,133	208	4	38	78714	71133		
11/19/21	1,597,054	4,670	13	7,392	7,164	190	3	38	78774	71146		
11/20/21	1,602,411	5,357	35	7,427	7,185	204	5	38	78821	71147		
11/21/21	1,602,614	203	58	7,485	7,205	242	3	38	80041	72649		
11/22/21	1,603,294	680	13	7,498	7,248	211	4	39	80295	72649		
11/23/21	1,605,685	2,391	32	7,530	7,297	194	6	39	80303	72649		
11/24/21	1,609,844	4,159	34	7,564	7,338	187	5	39	80357	72649		
11/26/21	1,615,072	5,228	32	7,596	7,350	207	7	39	80405	72649		
11/27/21	1,615,220	148	72	7,668	7,421	208	6	39	80428	72649		
11/28/21	1,615,379	159	18	7,686	7,455	192	8	39	80455	72649		
11/29/21	1,616,611	1,232	14	7,700	7,486	175	6	39	80465	72649		
11/30/21	1,619,216	2,605	46	7,746	7,508	199	5	39	80469	72649		
12/1/21	1,624,426	5,210	40	7,786	7,537	210	5	39	80496	72939		
12/2/21	1,627,905	3,479	61	7,847	7,561	247	6	39	80496	72939		
12/3/21	1,632,827	4,922	62	7,909	7,601	269	7	39	80590	73608		
12/4/21	1,639,047	6,220	53	7,962	7,621	302	8	39	80634	73658		
12/5/21	1,639,347	300	102	8,064	7,684	341	8	39	80702	74111		
12/6/21	1,640,407	1,060	24	8,088	7,722	327	8	39	80733	74538		
12/7/21	1,642,813	2,406	48	8,136	7,757	340	8	39	80760	74546		
12/8/21	1,647,310	4,497	37	8,173	7,815	319	9	39	80800	74629		
12/9/21	1,652,547	5,237	74	8,247	7,854	354	9	39	80854	74683		
12/10/21	1,656,053	3,506	113	8,360	7,908	411	10	41	80915	74721		
12/11/21	1,663,293	7,240	110	8,470	7,963	466	10	41	80962	74767		
12/12/21	1,664,240	947	344	8,814	8,001	772	9	41	81025	74939		
12/13/21	1,666,280	2,040	47	8,861	8,072	748	8	41	81086	74950		
12/14/21	1,669,267	2,987	193	9,054	8,123	886	10	45	81108	74959		
12/15/21	1,673,726	4,459	254	9,308	8,161	1,102	9	45	81170	74992		
12/16/21	1,681,565	7,839	387	9,695	8,161	1,489	8	45	81496	75297		
12/17/21	1,686,638	5,073	365	10,060	8,161	1,853	12	46	81582	75322		
12/18/21	1,693,892	7,254	269	10,329	8,238	2,045	13	46	81620	75355		
12/19/21	1,694,712	820	523	10,852	8,265	2,541	12	46	81680	75355		
12/20/21	1,696,327	1,615	41	10,893	8,367	2,480	15	46	81680	75355		
12/21/21	1,697,889	1,562	110	11,003	8,367	2,589	19	47	81731	75355		
12/22/21	1,699,845	1,956	41	11,044	8,367	2,630	15	47	81753	75355		
12/23/21	1,702,876	3,031	172	11,216	9,147	2,022	15	47	81764	75355		
12/24/21	1,705,312	2,436	143	11,359	9,392	1,920	16	47	81764	75355	16	16
12/25/21	1,707,043	1,731	118	11,477	9,917	1,513	17	47	81772	75355	21	37
12/26/21	1,707,210	167	64	11,541	10,141	1,353	17	47	81772	75355	26	63
12/27/21	1,707,351	141	27	11,568	10,349	1,172	18	47	81772	75355	18	81
12/28/21	1,712,357	5,006	21	11,589	10,588	954	17	47	81790	75355	60	141
12/29/21	1,714,161	1,804	86	11,675	10,961	666	11	48	81798	75355	40	181
12/30/21	1,715,974	1,813	280	11,955	11,023	884	11	48	81815	75355	45	226
12/31/21	1,717,425	1,451	265	12,220	11,120	1,052	10	48	81849	75355	47	273
1/1/22	1,719,594	2,169	173	12,393	11,220	1,125	10	48	81849	75355	39	312
1/2/22	1,719,849	255	189	12,582	11,258	1,276	10	48	81849	75355	42	354
1/3/22	1,720,067	218	52	12,634	11,333	1,253	9	48	81849	75355	79	433
1/4/22	1,721,158	1,091	38	12,672	11,469	1,155	10	48	81849	75355	87	520
1/5/22	1,724,015	2,857	210	12,882	11,606	1,228	11	48	81849	75355	90	610
1/6/22	1,726,348	2,333	361	13,243	11,790	1,404	15	49	81897	75355	67	677
1/7/22	1,729,461	3,113	306	13,549	12,121	1,379	16	49	81958	75355	68	745
1/8/22	1,733,125	3,664	322	13,871	12,283	1,539	16	49	81975	75355	50	795
1/9/22	1,734,007	882	297	14,168	12,462	1,657	16	49	81985	75355	37	832
1/10/22	1,736,027	2,020	48	14,216	12,619	1,548	16	49	82053	75355	44	876
1/11/22	1,736,963	936	80	14,296	12,925	1,322	21	49	82053	75355	72	948
1/12/22	1,739,855	2,892	197	14,493	13,285	1,159	21	49	82081	75355	53	1001
1/13/22	1,742,018	2,163	257	14,750	13,506	1,195	23	49	82121	75355	53	1054
1/14/22	1,745,302	3,284	225	14,975	13,699	1,226	17	50	82121	75355	52	1106
1/15/22	1,747,111	1,809	247	15,222	14,035	1,137	16	50	82249	75355	25	1131
1/16/22	1,748,894	1,783	246	15,468	14,491	927	15	50	82303	75355	13	1144
1/17/22	1,749,699	805	73	15,541	14,739	752	14	50	82365	75355	28	1172
1/18/22	1,750,639	940	69	15,610	15,057	503	12	50	82376	75355	41	1213
1/19/22	1,751,625	986	73	15,683	15,257	374	18	52	82399	75355	34	1247
1/20/22	1,755,467	3,842	141	15,824	15,407	365	23	52	82428	75355	33	1280
1/21/22	1,757,472	2,005	129	15,953	15,514	387	24	52	82537	75381	29	1309
1/22/22	1,759,587	2,115	81	16,034	15,629	353	19	52	82621	75393	20	1329
1/23/22	1,761,529	1,942	91	16,125	15,689	384	21	52	82687	75420	19	1348
1/24/22	1,762,680	1,151	55	16,180	15,734	394	17	52	82756	75420	28	1376
1/25/22	1,764,313	1,633	88	16,268	15,813	402	17	53	82772	75448	22	1398
1/26/22	1,767,740	3,427	94	16,362	15,921	388	20	53	82833	75472	21	1419
1/27/22	1,770,786	3,046	83	16,445	16,144	248	20	53	82897	75541	24	1443
1/28/22	1,773,577	2,791	80	16,525	16,206	266	17	53	82943	75555	19	1462
1/29/22	1,776,009	2,432	129	16,654	16,277	324	16	53	82990	75576	25	1487
1/30/22	1,777,942	1,933	43	16,697	16,302	342	18	53	83059	75596	10	1497
1/31/22	1,778,510	568	43	16,740			15	53	83173	75626	9	1506
2/1/22	1,780,599	2,089	51	16,791			16	54	83198	75636	13	1519
2/2/22	1,783,318	2,719	75	16,866			14	54	83275	75690	16	1535
2/3/22	1,786,212	2,894	117	16,983			15	54	83323	75718	15	1550
2/4/22	1,788,474	2,262	75	17,058			15	54	83373	75776	12	1562
2/5/22	1,790,456	1,982	41	17,099			15	54	83373	75776	12	1574
2/6/22	1,791,993	1,537	28	17,127			17	54	83373	75776	5	1579
2/7/22	1,792,291	298	10	17,137			13	54	83459	75853	18	1597
2/8/22	1,792,721	430	22	17,159			11	54	83476	75864	13	1610
2/9/22	1,792,975	254	2	17,161			9	55	83506	75896	8	1618
2/10/22	1,798,944	5,969	98	17,259			8	55	83525	75932	6	1624
2/11/22	1,800,423	1,479	32	17,291			8	55	83557	75984	12	1636
2/12/22	1,805,045	4,622	51	17,342			9	55	83615	76089	3	1639
2/13/22	1,805,269	224	32	17,374			8	55	83615	76089	3	1642
2/14/22	1,805,876	607	5	17,379			13	55	83615	76089	9	1651
2/15/22	1,807,802	1,926	19	17,398			12	55	83615	76100	6	1657
2/16/22	1,810,250	2,448	28	17,426			9	55	83624	76131	7	1664
2/17/22	1,811,535	1,285	40	17,466			6	57	83639	76146	7	1671
2/18/22	1,814,011	2,476	52	17,518			6	57	83675	76182	8	1679
2/19/22	1,818,775	4,764	40	17,558			6	57	83747	76270	2	1681
2/20/22	1,818,964	189	30	17,588			10	57	83747	76270	2	1683
2/21/22	1,819,308	344	1	17,589			12	57	83747	76270	2	1685
2/22/22	1,819,861	553	20	17,609			7	57	83749	76278	6	1691
2/23/22	1,821,197	1,336	30	17,639			8	57	83796	76317	3	1694
2/24/22	1,822,547	1,350	25	17,664			7	57	83815	76342	3	1697
2/25/22	1,823,947	1,400	20	17,684			5	59	83848	76369	0	1697
2/26/22	1,826,030	2,083	45	17,729			5	59	83884	76389	4	1701
2/27/22	1,826,136	106	12	17,741			4	59	83884	76389	1	1702
2/28/22	1,826,621	485	10	17,751			4	59	83900	76399	2	1704
3/1/22	1,827,444	823	22	17,773			4	59	83922	76414	8	1712
3/2/22	1,828,355	911	25	17,798			5	59	83937	76465	4	1716
3/3/22	1,830,514	2,159	24	17,822			5	59	83965	76496	5	1721
3/4/22	1,832,635	2,121	63	17,885			5	59	83976	76566	2	1723
3/5/22	1,834,047	1,412	16	17,901			7	59	83976	76566	3	1726
3/6/22	1,834,158	111	15	17,916			7	59	83980	76581	2	1728
3/7/22	1,834,456	298	17	17,933			7	59	84011	76599	9	1737
3/8/22	1,835,019	563	17	17,950			7	59	84011	76606	3	1740
3/9/22	1,836,086	1,067	28	17,978			6	59	84017	76616	4	1744
3/10/22	1,837,401	1,315	28	18,006			5	59	84029	76636	10	1754
3/11/22	1,839,196	1,795	37	18,043			4	59	84040	76647	7	1761
3/12/22	1,840,612	1,416	25	18,068			4	59	84049	76660	9	1770
3/13/22	1,840,836	224	21	18,089			4	59	84063	76673	3	1773
3/14/22	1,841,159	323	5	18,094			5	59	84063	76679	3	1776
3/15/22	1,841,671	512	24	18,118			2	59	84070	76686	7	1783
3/16/22	1,843,009	1,338	41	18,159			1	59	84070	76696	4	1787
3/17/22	1,844,103	1,094	22	18,181			1	59	84089	76702	7	1794
3/18/22	1,845,393	1,290	29	18,210			1	59	84099	76710	7	1801
3/19/22	1,847,031	1,638	29	18,239			0	59	84131	76741	11	1812
3/20/22	1,847,270	239	12	18,251			0	59	84132	76747	11	1823
3/21/22	1,847,554	284	3	18,254			0	59	84132	76747	11	1834
3/22/22	1,848,180	626	20	18,274			0	59	84136	76752	17	1851
3/23/22	1,849,776	1,596	84	18,358			1	59	84157	76765	14	1865
3/24/22	1,851,106	1,330	87	18,445			0	59	84162	76765	10	1875
3/25/22	1,852,861	1,755	92	18,537			0	59	84180	76777	14	1889
3/26/22	1,855,526	2,665	62	18,599			1	59	84191	76805	13	1902
3/27/22	1,855,648	122	57	18,656			2	59	84204	76819	7	1909
3/28/22	1,856,239	591	10	18,666			3	59	84204	76822	11	1920
3/29/22	1,856,985	746	29	18,695			3	59	84204	76822	14	1934
3/30/22	1,858,662	1,677	71	18,766			4	59	84206	76826	11	1945
3/31/22	1,860,590	1,928	42	18,808			6	60	84215	76833	14	1959
4/1/22	1,861,925	1,335	67	18,875			7	60	84226	76848	12	1971
4/2/22	1,864,063	2,138	58	18,933			6	60	84227	76851	13	1984
4/3/22	1,864,168	105	27	18,960			5	60	84242	76860	3	1987
4/4/22	1,864,529	361	7	18,967			5	60	84244	76865	8	1995
4/5/22	1,865,080	551	37	19,004			4	60	84251	76870	22	2017
4/6/22	1,866,066	986	39	19,043			4	60	84252	76875	11	2028
4/7/22	1,867,049	983	46	19,089			4	60	84274	76895	16	2044
4/8/22	1,868,062	1,013	66	19,155			4	60	84281	76903	23	2067
4/9/22	1,869,524	1,462	60	19,215			5	60	84295	76916	9	2076
4/10/22	1,869,662	138	30	19,245			4	60	84299	76924	7	2083
4/11/22	1,870,090	428	12	19,257			4	60	84299	76924	9	2092
4/12/22	1,870,803	713	56	19,313			4	60	84302	76928	17	2109
4/13/22	1,871,758	955	68	19,381			4	60	84314	76945	18	2127
4/14/22	1,872,650	892	56	19,437			6	60	84317	76955	20	2147
4/15/22	1,873,690	1,040	45	19,482			6	60	84330	76972	20	2167
4/16/22	1,874,931	1,241	35	19,517			5	60	84344	76990	9	2176
4/17/22	1,875,044	113	29	19,546			5	60	84361	77001	19	2195
4/18/22	1,875,378	334	9	19,555			5	60	84361	77001	17	2212
4/19/22	1,875,954	576	38	19,593			5	60	84366	77005	18	2230
4/20/22	1,877,139	1,185	68	19,661			7	60	84384	77027	23	2253
4/21/22	1,878,017	878	73	19,734			5	60	84411	77041	27	2280
4/22/22	1,879,550	1,533	81	19,815			6	60	84416	77064	20	2300
4/23/22	1,880,681	1,131	58	19,873			6	60	84471	77110	13	2313
4/24/22	1,880,833	152	41	19,914			6	60	84471	77110	19	2332
4/25/22	1,881,180	347	49	19,963			10	60	84477	77118	26	2358
4/26/22	1,881,746	566	55	20,018			10	60	84483	77123	48	2406
4/27/22	1,882,715	969	81	20,099			14	60	84498	77145	22	2428
4/28/22	1,883,848	1,133	68	20,167			15	60	84523	77164	30	2458
4/29/22	1,885,109	1,261	59	20,226			16	60	84560	77208	14	2472
4/30/22	1,886,677	1,568	72	20,298			16	60	84560	77208	22	2494
5/1/22	1,886,890	213	34	20,332			12	60	84624	77280	18	2512
5/2/22	1,887,264	374	14	20,346			11	60	84624	77280	19	2531
5/3/22	1,887,745	481	73	20,419			12	60	84633	77282	41	2572
5/4/22	1,888,935	1,190	97	20,516			13	60	84672	77304	29	2601
5/5/22	1,890,401	1,466	80	20,596			12	61	84697	77337	27	2628
5/6/22	1,891,534	1,133	104	20,700			10	62	84723	77365	25	2653
5/7/22	1,892,939	1,405	64	20,764			9	62	84745	77392	16	2669
5/8/22	1,893,161	222	46	20,810			8	62	84748	77453	13	2682
5/9/22	1,893,574	413	23	20,833			8	62	84748	77453	16	2698
5/10/22	1,894,005	431	41	20,874			8	62	84757	77458	18	2716
5/11/22	1,895,061	1,056	62	20,936			8	62	84790	77478	21	2737
5/12/22	1,896,081	1,020	75	21,011			7	62	84827	77512	22	2759
5/13/22	1,897,013	932	56	21,067			4	62	84852	77533	15	2774
5/14/22	1,898,070	1,057	83	21,150			5	62	84900	77585	9	2783
5/15/22	1,898,218	148	48	21,198			4	62	84929	77601	9	2792
5/16/22	1,898,630	412	8	21,206			5	62	84930	77618	15	2807
5/17/22	1,899,039	409	56	21,262			6	62	84941	77620	28	2835
5/18/22	1,899,566	527	58	21,320			6	62	84963	77646	13	2848
5/19/22	1,900,479	913	69	21,389			7	62	84996	77665	18	2866
5/20/22	1,901,287	808	61	21,450			5	62	85053	77701	9	2875
5/21/22	1,902,463	1,176	67	21,517			6	62	85092	77730	13	2888
5/22/22	1,902,643	180	31	21,548			7	62	85092	77796	8	2896
5/23/22	1,903,020	377	40	21,588			10	62	85092	77796	9	2905
5/24/22	1,903,364	344	40	21,628			11	62	85092	77800	18	2923
5/25/22	1,904,110	746	45	21,673			13	62	85092	77829	11	2934
5/26/22	1,904,929	819	58	21,731			11	62	85126	77865	9	2943
5/27/22	1,905,779	850	29	21,760			8	62	85168	77891	10	2953
5/28/22	1,906,603	824	59	21,819			7	62	85168	77891	4	2957
5/29/22	1,906,763	160	19	21,838			5	62	85168	77891	5	2962
5/30/22	1,907,067	304	29	21,867			7	62	85208	77927	6	2968
5/31/22	1,907,168	101	32	21,899			9	62	85208	77927	8	2976
6/1/22	1,907,537	369	43	21,942			12	62	85252	77970	21	2997
6/2/22	1,908,263	726	34	21,976			12	62	85296	78016	10	3007
6/3/22	1,908,779	516	20	21,996			9	62	85366	78077	8	3015
6/4/22	1,909,511	732	18	22,014			12	62	85456	78158	2	3017
6/5/22	1,909,648	137	6	22,020			8	62	85540	78238	6	3023
6/6/22	1,909,737	89	10	22,030			6	62	85555	78251	6	3029
6/7/22	1,910,267	530	27	22,057			8	62	85576	78266	13	3042
6/8/22	1,910,840	573	20	22,077			5	62	85640	78323	1	3043
6/9/22	1,911,316	476	18	22,095			7	62	85702	78383	11	3054
6/10/22	1,911,739	423	23	22,118			5	62	85764	78428	5	3059
6/11/22	1,912,373	634	17	22,135			5	62	85976	78620	5	3064
6/12/22	1,912,461	88	8	22,143			3	62	85976	78620	2	3066
6/13/22	1,912,648	187	4	22,147			1	62	85976	78620	1	3067
6/14/22	1,912,918	270	13	22,160			2	62	86004	78642	8	3075
6/15/22	1,913,351	433	21	22,181			2	63	86084	78713	3	3078
6/16/22	1,913,776	425	43	22,224			4	63	86183	78799	4	3082
6/17/22	1,913,996	220	5	22,229			3	63	86302	78907	5	3087
6/18/22	1,914,861	865	29	22,258			1	63	86302	78907	6	3093
6/19/22	1,914,952	91	22	22,280			2	63	86315	78921	10	3103
6/20/22	1,915,143	191	3	22,283			1	63	86346	78951	5	3108
6/21/22	1,915,368	225	18	22,301			0	63	86355	78963	5	3113
6/22/22	1,915,731	363	16	22,317			2	63	86355	78963	6	3119
6/23/22	1,916,150	419	17	22,334			4	63	86371	78975	9	3128
6/24/22	1,916,579	429	28	22,362			3	63	86372	78976	2	3130
6/25/22	1,917,115	536	10	22,372			3	63	86383	78981	3	3133
6/26/22	1,917,201	86	6	22,378			4	63	86383	78981	2	3135
6/27/22	1,917,356	155	4	22,382			4	63	86383	78981	6	3141
6/28/22	1,917,559	203	18	22,400			6	63	86383	78981	8	3149
